Rank,Name,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
1,Michigan,12,2-Oct,34,163,0.209
2,Southern Miss.,12,6-Jun,34,142,0.239
3,Wisconsin,13,3-Oct,45,168,0.268
4,Virginia Tech,13,4-Sep,54,190,0.284
5,Alabama,13,13-0,60,203,0.296
6,Clemson,13,1-Dec,57,192,0.297
7,UCF,12,6-Jun,61,204,0.299
8,Louisville,12,3-Sep,57,186,0.306
9,Washington,13,1-Dec,59,192,0.307
10,Ohio St.,12,1-Nov,56,182,0.308
11,Colorado,13,3-Oct,65,206,0.316
12,Boston College,12,6-Jun,52,163,0.319
13,Indiana,12,6-Jun,61,191,0.319
14,Ga. Southern,12,7-May,50,153,0.327
15,Appalachian St.,12,3-Sep,56,168,0.333
16,Florida St.,12,3-Sep,54,160,0.338
17,Toledo,12,3-Sep,58,171,0.339
18,Auburn,12,4-Aug,65,191,0.34
19,Temple,13,3-Oct,62,182,0.341
20,LSU,11,4-Jul,59,172,0.343
21,Old Dominion,12,3-Sep,57,166,0.343
22,South Alabama,12,6-Jun,53,154,0.344
23,Iowa,12,4-Aug,58,168,0.345
24,UCLA,12,8-Apr,69,199,0.347
25,Troy,12,3-Sep,67,192,0.349
26,NC State,12,6-Jun,61,174,0.351
27,Southern California,12,3-Sep,63,179,0.352
28,Houston,12,3-Sep,67,190,0.353
29,Kansas,12,10-Feb,62,174,0.356
30,Florida,12,4-Aug,59,165,0.358
31,Northwestern,12,6-Jun,63,176,0.358
32,Arizona St.,12,7-May,62,173,0.358
33,Wake Forest,12,6-Jun,61,170,0.359
34,Louisiana,12,6-Jun,65,180,0.361
35,Georgia,12,5-Jul,58,160,0.363
36,BYU,12,4-Aug,58,159,0.365
37,Nebraska,12,3-Sep,61,165,0.37
38,Stanford,12,3-Sep,65,175,0.371
39,San Jose St.,12,8-Apr,55,148,0.372
40,Penn St.,13,2-Nov,76,204,0.373
41,Arkansas St.,12,5-Jul,71,190,0.374
42,Tulsa,12,3-Sep,80,214,0.374
43,San Diego St.,13,3-Oct,73,195,0.374
44,Middle Tenn.,12,4-Aug,73,194,0.376
45,Army West Point,12,5-Jul,55,146,0.377
46,SMU,12,7-May,69,183,0.377
47,Kansas St.,12,4-Aug,60,159,0.377
48,Boise St.,12,2-Oct,76,201,0.378
49,Northern Ill.,12,7-May,70,185,0.378
50,Memphis,12,4-Aug,69,182,0.379
51,Ohio,13,5-Aug,76,200,0.38
52,Western Mich.,13,13-0,62,163,0.38
53,Texas,12,7-May,72,188,0.383
54,Tennessee,12,4-Aug,73,190,0.384
55,New Mexico,12,4-Aug,56,145,0.386
56,Western Ky.,13,3-Oct,77,199,0.387
57,Utah,12,4-Aug,67,173,0.387
58,Miami (FL),12,4-Aug,75,193,0.389
59,Notre Dame,12,8-Apr,67,172,0.39
60,Minnesota,12,4-Aug,76,195,0.39
61,Georgia St.,12,9-Mar,77,197,0.391
62,Oklahoma St.,12,3-Sep,70,179,0.391
63,Texas A&M,12,4-Aug,78,199,0.392
64,Vanderbilt,12,6-Jun,69,176,0.392
65,Maryland,12,6-Jun,68,173,0.393
,UTSA,12,6-Jun,68,173,0.393
67,Rice,12,9-Mar,62,157,0.395
68,Central Mich.,12,6-Jun,69,174,0.397
,Duke,12,8-Apr,69,174,0.397
70,South Fla.,12,2-Oct,81,204,0.397
71,Kent St.,12,9-Mar,72,181,0.398
72,Pittsburgh,12,4-Aug,71,178,0.399
73,Marshall,12,9-Mar,66,165,0.4
,Miami (OH),12,6-Jun,66,165,0.4
75,Massachusetts,12,10-Feb,69,171,0.404
76,Rutgers,12,10-Feb,70,173,0.405
77,UConn,12,9-Mar,73,179,0.408
78,Washington St.,12,4-Aug,66,161,0.41
79,Fresno St.,12,11-Jan,68,165,0.412
80,West Virginia,12,2-Oct,80,194,0.412
81,Utah St.,12,9-Mar,76,184,0.413
82,Syracuse,12,8-Apr,72,174,0.414
83,UTEP,12,8-Apr,65,157,0.414
84,Baylor,12,6-Jun,82,198,0.414
85,Mississippi St.,12,7-May,75,181,0.414
86,Ole Miss,12,7-May,75,180,0.417
,Eastern Mich.,12,5-Jul,70,168,0.417
88,Oregon St.,12,8-Apr,74,177,0.418
89,Charlotte,12,8-Apr,72,172,0.419
90,Michigan St.,12,9-Mar,71,168,0.423
91,Texas St.,12,10-Feb,74,175,0.423
92,Idaho,12,4-Aug,70,164,0.427
93,South Carolina,12,6-Jun,74,173,0.428
94,Tulane,12,8-Apr,81,189,0.429
95,East Carolina,12,9-Mar,73,170,0.429
96,FIU,12,8-Apr,67,156,0.429
97,TCU,12,6-Jun,91,211,0.431
98,Wyoming,13,5-Aug,82,190,0.432
99,Oklahoma,12,2-Oct,87,201,0.433
100,Texas Tech,12,7-May,71,164,0.433
101,North Carolina,12,4-Aug,84,194,0.433
102,Virginia,12,10-Feb,75,173,0.434
103,Air Force,12,3-Sep,74,169,0.438
104,Missouri,12,8-Apr,86,194,0.443
105,Akron,12,7-May,79,178,0.444
106,Illinois,12,9-Mar,78,175,0.446
107,Arkansas,12,5-Jul,67,150,0.447
108,UNLV,12,8-Apr,80,179,0.447
109,La.-Monroe,12,8-Apr,68,152,0.447
110,Bowling Green,12,8-Apr,77,172,0.448
111,Iowa St.,12,9-Mar,78,174,0.448
112,Louisiana Tech,13,5-Aug,79,176,0.449
113,Kentucky,12,5-Jul,75,167,0.449
114,Ball St.,12,8-Apr,83,184,0.451
115,North Texas,12,7-May,81,176,0.46
116,Buffalo,12,10-Feb,84,182,0.462
117,New Mexico St.,12,9-Mar,83,177,0.469
118,California,12,7-May,76,161,0.472
119,Fla. Atlantic,12,9-Mar,78,165,0.473
120,Cincinnati,12,8-Apr,93,194,0.479
121,Oregon,12,8-Apr,79,163,0.485
122,Hawaii,13,7-Jun,92,189,0.487
123,Colorado St.,12,5-Jul,87,178,0.489
124,Nevada,12,7-May,81,165,0.491
125,Purdue,12,9-Mar,89,181,0.492
126,Georgia Tech,12,4-Aug,87,173,0.503
127,Arizona,12,9-Mar,92,175,0.526
128,Navy,13,4-Sep,100,190,0.526
,,,,,,
,,,,,,
      ,,,,,,
