Rank,Name,G,W-L,3rd Att,3rd Conv,Pct
1,Navy,13,4-Sep,156,85,0.545
2,Western Mich.,13,13-0,177,96,0.542
3,Toledo,12,3-Sep,170,89,0.524
4,Texas Tech,12,7-May,195,101,0.518
5,Oklahoma,12,2-Oct,159,82,0.516
6,Clemson,13,1-Dec,198,102,0.515
7,Air Force,12,3-Sep,183,94,0.514
8,Louisiana Tech,13,5-Aug,145,71,0.49
9,Nevada,12,7-May,166,81,0.488
10,Ohio St.,12,1-Nov,185,90,0.486
11,Boise St.,12,2-Oct,147,71,0.483
12,Washington St.,12,4-Aug,172,83,0.483
13,BYU,12,4-Aug,185,89,0.481
14,Houston,12,3-Sep,214,102,0.477
15,Alabama,13,13-0,179,85,0.475
16,Southern California,12,3-Sep,163,77,0.472
17,Western Ky.,13,3-Oct,157,74,0.471
18,Army West Point,12,5-Jul,155,72,0.465
19,Kansas St.,12,4-Aug,162,75,0.463
20,North Carolina,12,4-Aug,152,70,0.461
21,New Mexico,12,4-Aug,159,73,0.459
22,Florida St.,12,3-Sep,156,71,0.455
23,Pittsburgh,12,4-Aug,161,73,0.453
24,Ball St.,12,8-Apr,195,88,0.451
25,Washington,13,1-Dec,153,69,0.451
26,Middle Tenn.,12,4-Aug,173,78,0.451
27,Purdue,12,9-Mar,202,91,0.45
28,Nebraska,12,3-Sep,180,81,0.45
29,Eastern Mich.,12,5-Jul,183,82,0.448
30,South Fla.,12,2-Oct,172,77,0.448
31,Colorado,13,3-Oct,219,98,0.447
32,Tulsa,12,3-Sep,195,87,0.446
33,Ga. Southern,12,7-May,185,82,0.443
34,Louisville,12,3-Sep,163,72,0.442
,Michigan,12,2-Oct,163,72,0.442
36,Temple,13,3-Oct,178,78,0.438
37,LSU,11,4-Jul,135,59,0.437
38,West Virginia,12,2-Oct,170,74,0.435
39,UTSA,12,6-Jun,193,84,0.435
40,Wyoming,13,5-Aug,184,80,0.435
41,SMU,12,7-May,208,90,0.433
42,Duke,12,8-Apr,186,80,0.43
43,Missouri,12,8-Apr,193,83,0.43
,Wisconsin,13,3-Oct,193,83,0.43
45,Stanford,12,3-Sep,163,70,0.429
46,Iowa St.,12,9-Mar,177,76,0.429
,NC State,12,6-Jun,177,76,0.429
48,Colorado St.,12,5-Jul,161,69,0.429
49,Auburn,12,4-Aug,167,71,0.425
50,Oklahoma St.,12,3-Sep,165,70,0.424
51,La.-Monroe,12,8-Apr,191,81,0.424
