Winner,Loser
Alabama,Georgia
Notre Dame,LSU
South Carolina,Michigan
UCF,Auburn
Georgia,Oklahoma
Alabama,Clemson
Penn St.,Washington
Iowa St.,Memphis
Wisconsin,Miami (FL)
Mississippi St.,Louisville
New Mexico St.,Utah St.
Wake Forest,Texas A&M
Ohio St.,Southern California
Northwestern,Kentucky
NC State,Arizona St.
TCU,Stanford
Oklahoma St.,Virginia Tech
Michigan St.,Washington St.
Navy,Virginia
Purdue,Arizona
Florida St.,Southern Miss.
Iowa,Boston College
Texas,Missouri
Kansas St.,UCLA
Utah,West Virginia
Duke,Northern Ill.
Fresno St.,Houston
Army,San Diego St.
South Fla.,Texas Tech
Appalachian St.,Toledo
Ohio,UAB
Wyoming,Central Mich.
Temple,FIU
Louisiana Tech,SMU
Fla. Atlantic,Akron
Georgia St.,Western Ky.
Middle Tenn.,Arkansas St.
Boise St.,Oregon
Marshall,Colorado St.
Troy,North Texas
