Name,Opp FD
Army West Point,169
Michigan,171
Alabama,172
Southern Miss.,172
Ohio St.,176
LSU,181
Boston College,184
Georgia,191
Florida,192
Temple,193
Houston,200
Nebraska,206
Louisville,207
Wisconsin,211
Air Force,216
Tulane,216
Duke,216
Appalachian St.,218
San Diego St.,220
BYU,222
Colorado,222
Auburn,222
Michigan St.,223
Arkansas,224
Central Mich.,225
Iowa,225
Southern California,226
Virginia Tech,226
Stanford,227
Troy,227
Florida St.,229
NC State,230
Washington,230
Clemson,230
Wake Forest,230
Minnesota,231
Toledo,231
Indiana,232
Utah,232
Western Mich.,233
Miami (FL),234
Arkansas St.,234
New Mexico,234
Kansas St.,237
Colorado St.,239
Penn St.,241
Tulsa,242
Rutgers,242
Louisiana,243
Notre Dame,244
Miami (OH),244
Vanderbilt,245
UCF,247
Washington St.,247
Boise St.,249
Ohio,250
Old Dominion,250
UConn,251
South Alabama,252
San Jose St.,253
Western Ky.,254
Ga. Southern,254
Oklahoma,254
UTSA,254
East Carolina,256
TCU,257
Utah St.,257
Illinois,258
Rice,258
Virginia,258
Buffalo,259
Kent St.,260
Purdue,261
Fresno St.,261
Georgia Tech,261
Northwestern,262
North Texas,262
West Virginia,264
Baylor,265
Nevada,265
UTEP,265
Idaho,266
UCLA,267
UNLV,267
Georgia St.,267
SMU,268
North Carolina,269
FIU,269
Ole Miss,270
Bowling Green,272
Ball St.,273
Missouri,273
Kentucky,274
Mississippi St.,274
South Carolina,274
Syracuse,275
Tennessee,275
Pittsburgh,276
Navy,276
Texas,276
Wyoming,277
Kansas,277
Oklahoma St.,277
Oregon St.,277
Arizona St.,278
Memphis,281
Maryland,284
Texas St.,286
Massachusetts,286
Cincinnati,287
New Mexico St.,289
Texas A&M,289
Charlotte,290
Marshall,290
Eastern Mich.,291
La.-Monroe,292
Northern Ill.,292
Iowa St.,293
Akron,294
Fla. Atlantic,296
South Fla.,299
Middle Tenn.,301
Arizona,302
Hawaii,306
Louisiana Tech,311
California,320
Texas Tech,321
Oregon,337
,
Coastal Caro.,209
