Name,Pass Eff
Ohio St.,91.43
Michigan,91.93
Colorado,98.12
Florida,98.35
Clemson,102.41
Appalachian St.,103.29
Alabama,103.58
UCF,104.91
Georgia St.,104.99
UCLA,105.85
Wisconsin,106.77
Washington,106.95
Virginia Tech,109.23
Temple,109.52
Army West Point,110.68
Auburn,112.78
LSU,113.23
Iowa,113.85
Troy,114.25
Kent St.,116.18
San Diego St.,116.2
Stanford,116.95
Indiana,117.31
Oregon St.,118
Western Mich.,118.93
Memphis,119.26
Boise St.,119.63
Arkansas St.,119.71
Nebraska,119.73
Penn St.,119.77
Tulsa,119.94
West Virginia,120
Miami (FL),120.78
Northwestern,120.84
Minnesota,120.94
Middle Tenn.,121.32
Miami (OH),121.56
Georgia,122.19
Texas A&M,122.2
Southern California,122.72
Wake Forest,122.79
Tennessee,123.11
South Carolina,123.28
Houston,123.28
Missouri,123.42
North Texas,123.49
Tulane,123.83
South Alabama,124.49
Utah,124.87
Louisville,124.87
Western Ky.,125.29
Baylor,125.35
Florida St.,125.36
North Carolina,125.63
South Fla.,125.74
Georgia Tech,126.92
Maryland,127.3
SMU,127.46
TCU,127.57
Cincinnati,128.41
Arkansas,128.9
NC State,129.28
UTSA,130.3
Ole Miss,130.32
Old Dominion,130.4
Northern Ill.,130.57
Utah St.,130.86
Illinois,131.07
Oklahoma,131.55
UNLV,131.9
Vanderbilt,132.08
Louisiana,132.15
BYU,132.19
Toledo,133.33
Kentucky,133.79
Central Mich.,133.85
Ga. Southern,134.12
Southern Miss.,134.39
Notre Dame,134.56
Eastern Mich.,134.77
Boston College,135
Buffalo,135.72
Colorado St.,136.04
Michigan St.,136.3
Air Force,136.91
Kansas St.,137.24
Wyoming,137.3
East Carolina,137.91
Oklahoma St.,137.97
Ohio,138.01
Nevada,138.04
Texas,138.07
Akron,138.17
Charlotte,138.31
Washington St.,139.19
Iowa St.,139.25
Kansas,139.58
Rutgers,140.1
UConn,141.01
Purdue,141.17
California,141.87
Marshall,142.2
UTEP,142.91
Idaho,142.95
Mississippi St.,143
Oregon,143.16
FIU,143.26
Fresno St.,143.29
Syracuse,144.58
Duke,145.33
Pittsburgh,145.41
Ball St.,145.48
San Jose St.,146.43
La.-Monroe,147.34
Louisiana Tech,147.99
New Mexico St.,148.98
Hawaii,149.59
Virginia,150.73
New Mexico,151.24
Massachusetts,151.46
Texas Tech,151.62
Navy,153.06
Arizona,153.29
Arizona St.,156.94
Texas St.,157.14
Fla. Atlantic,158.53
Bowling Green,159.51
Rice,170.55
