Name,Pass Eff
Wisconsin,96.31
Alabama,98.9
Michigan,100.17
Boston College,100.75
Washington St.,104.61
Clemson,104.96
Central Mich.,105.37
Georgia,108.07
LSU,108.41
South Fla.,108.5
UAB,109.92
Iowa,110.5
Michigan St.,110.9
Virginia Tech,111
Florida St.,111.09
Ohio St.,111.75
Wyoming,112.01
Miami (FL),112.05
UTSA,112.19
Southern Miss.,112.61
Penn St.,112.96
Auburn,113.06
Washington,113.55
Duke,115.14
Northern Ill.,115.94
Toledo,116.22
Fla. Atlantic,116.33
Wake Forest,116.65
Utah,116.91
Boise St.,116.99
Western Ky.,117.41
Northwestern,118.63
Massachusetts,118.89
Virginia,119.13
Miami (OH),119.22
Fresno St.,119.59
Notre Dame,120.75
Mississippi St.,120.82
Houston,121.4
Arkansas St.,121.45
Southern California,121.56
Oregon,121.96
Utah St.,122.36
Louisiana Tech,122.65
Purdue,122.94
San Diego St.,123.05
Appalachian St.,123.28
Marshall,123.62
NC State,123.8
Indiana,123.95
South Carolina,124.04
TCU,124.14
Texas,125.19
New Mexico St.,125.22
UCF,125.66
Colorado,125.71
Eastern Mich.,126.09
Troy,126.69
Minnesota,127.32
Tennessee,127.76
Georgia Tech,127.77
Rutgers,128.31
Akron,128.5
North Texas,128.72
Oklahoma St.,129.2
Maryland,129.39
Ohio,129.57
Vanderbilt,129.86
Western Mich.,130.19
Middle Tenn.,130.56
Idaho,130.62
Florida,130.86
Colorado St.,131.54
UCLA,131.99
Missouri,132.34
Louisville,132.36
Stanford,132.44
Ole Miss,132.83
Temple,132.86
Illinois,132.9
Buffalo,133.14
Arizona,133.28
North Carolina,133.46
Kent St.,133.89
Arizona St.,134.02
Oklahoma,134.7
Memphis,134.9
Kansas St.,134.97
Pittsburgh,136.42
UNLV,136.46
California,137.13
Texas Tech,137.33
Texas A&M,137.38
Old Dominion,138.2
Nebraska,138.26
South Alabama,138.56
Georgia St.,138.59
Tulane,139.55
Iowa St.,139.68
Army West Point,139.84
West Virginia,139.93
Syracuse,140.69
Bowling Green,141.21
BYU,141.62
Kentucky,142.34
FIU,144
Air Force,144.14
Ga. Southern,144.68
New Mexico,146.09
San Jose St.,146.27
UTEP,146.36
Arkansas,147.11
Cincinnati,148.12
Louisiana,150.67
Charlotte,152.07
SMU,152.18
Baylor,155.61
Texas St.,155.9
Rice,158.29
Nevada,158.33
UConn,159.57
Ball St.,159.86
Oregon St.,159.86
Navy,160.05
Hawaii,162.06
La.-Monroe,164.13
Tulsa,167.45
Kansas,172.36
East Carolina,180.01
