Name,YPG
Alabama,63.4
Wisconsin,96.9
Houston,97.9
Western Ky.,99.1
NC State,104.7
Ohio,105.8
Boston College,106.9
BYU,108.4
Pittsburgh,108.9
Louisville,110
San Diego St.,111.9
Kansas St.,112.6
Michigan,116.8
Ohio St.,117.8
Air Force,118
LSU,121.8
Army West Point,123.3
Washington,123.5
Troy,123.7
Minnesota,124.4
Auburn,124.8
Clemson,125.8
Appalachian St.,125.8
Louisiana,128.7
Utah,129.7
Temple,130.8
Florida St.,131.3
Washington St.,132.9
Southern California,133.7
Louisiana Tech,134.4
Miami (FL),134.8
Northwestern,136.7
Miami (OH),139.8
Nebraska,141
Georgia,141.1
Florida,142.3
Charlotte,143.4
Idaho,144
Colorado,145.8
UConn,146.1
Stanford,146.7
Virginia Tech,148.5
Southern Miss.,149.3
Ball St.,150.6
Western Mich.,151.2
Indiana,152.4
Iowa,153.2
Penn St.,153.5
Arkansas St.,154.3
Wake Forest,155.9
Old Dominion,156.1
UTSA,157.8
Michigan St.,158.7
Tulane,159.3
Oklahoma,160.8
Central Mich.,161.3
Arizona St.,163.1
Eastern Mich.,164.3
Vanderbilt,165.4
Toledo,165.7
New Mexico,166.3
Ga. Southern,167.1
UCLA,171.5
Georgia Tech,174.2
Duke,174.9
West Virginia,175.5
Mississippi St.,178.2
Boise St.,179.8
TCU,180.7
UCF,181.3
Notre Dame,182.4
Tulsa,184.1
UNLV,186.9
Navy,187
Cincinnati,189.6
Texas A&M,189.6
Texas,189.8
Kent St.,189.8
Virginia,190
Bowling Green,190.9
Massachusetts,193.1
Arizona,194.2
Middle Tenn.,198.2
FIU,198.8
Memphis,200.2
Northern Ill.,200.8
Marshall,202.3
Wyoming,202.7
South Carolina,202.8
Utah St.,203.3
Oklahoma St.,204.4
South Fla.,205.3
Georgia St.,206.8
Arkansas,209.3
UTEP,210.3
Baylor,210.5
SMU,210.5
South Alabama,212.1
Colorado St.,213.1
Rice,216.8
Maryland,217.9
Oregon St.,218
Iowa St.,218.2
Illinois,219.2
North Texas,219.5
Texas St.,222.3
Akron,224.7
Kentucky,225
Syracuse,225
East Carolina,228.5
Tennessee,231.7
Missouri,232.8
North Carolina,235.5
Kansas,236.4
Purdue,238.4
Texas Tech,238.6
Hawaii,243.8
New Mexico St.,244.3
Fla. Atlantic,245.4
Ole Miss,246.3
Oregon,246.5
San Jose St.,246.7
Fresno St.,247.4
Buffalo,253.3
La.-Monroe,260.3
Rutgers,264.2
California,272.9
Nevada,297.6
