Name,YPG
Washington,92.3
Wisconsin,92.6
Alabama,94.1
TCU,99.8
Michigan St.,101.3
Texas,105.7
Ohio St.,108.8
San Diego St.,110.4
Northwestern,111.3
Ohio,111.4
Northern Ill.,112.3
Georgia,112.6
Clemson,112.8
Troy,114.8
Fresno St.,116.6
Virginia Tech,118.1
Penn St.,119.2
Kansas St.,121.8
Marshall,125.4
Boise St.,125.8
Michigan,125.9
South Fla.,126.4
LSU,126.4
Mississippi St.,127
UTSA,127.7
Oregon,129.9
Oklahoma St.,131.8
Southern Miss.,132.2
NC State,132.2
Purdue,133.3
Iowa St.,134.3
Auburn,134.5
Florida St.,136
Middle Tenn.,136.6
Arkansas St.,137.5
Utah,139.8
Texas St.,141.7
Iowa,142.1
Pittsburgh,142.4
Oklahoma,144.2
Miami (FL),146.1
Washington St.,146.2
South Carolina,146.7
Appalachian St.,147.1
BYU,147.6
Georgia St.,149
Houston,149.5
South Alabama,151.8
Notre Dame,153.2
Georgia Tech,153.6
Florida,153.9
Louisville,153.9
Texas Tech,154.3
Western Mich.,156.1
New Mexico,157.4
Southern California,158.3
Indiana,160.4
Duke,160.6
Kentucky,162.2
Missouri,163.5
California,164.1
Texas A&M,164.6
New Mexico St.,164.8
Navy,164.9
UCF,165.7
Fla. Atlantic,165.8
Army West Point,166.1
Toledo,166.4
Miami (OH),166.8
Idaho,168.1
UAB,169.8
Stanford,170.7
Kansas,171.6
Wyoming,172.2
Minnesota,172.2
Western Ky.,172.6
FIU,173.8
Eastern Mich.,174.1
Louisiana Tech,177.4
Virginia,178.3
Arizona St.,178.9
Ga. Southern,180.3
Rutgers,181.8
Temple,181.8
Colorado St.,182.8
UConn,185.1
Arizona,187.3
Ball St.,188
Baylor,189.9
Central Mich.,190.6
Maryland,190.8
Wake Forest,191.7
Cincinnati,192.4
Rice,192.6
Buffalo,194.8
Arkansas,196.1
Syracuse,196.7
Memphis,196.8
Akron,197.2
Massachusetts,197.9
Boston College,198.4
Vanderbilt,198.5
Old Dominion,204.2
West Virginia,204.8
Charlotte,205.8
Colorado,208
North Texas,208.1
Nevada,208.3
Hawaii,210.2
Tulane,210.4
North Carolina,213
SMU,213.3
Kent St.,213.3
Nebraska,214.8
Illinois,218.5
Utah St.,219.9
Air Force,222.8
La.-Monroe,232.8
UTEP,234.3
Oregon St.,235.8
Louisiana,236.6
UNLV,239.3
Ole Miss,245.3
East Carolina,245.5
Tennessee,251.3
Bowling Green,253.3
Tulsa,265
UCLA,282.7
San Jose St.,285.4
