Rank,Name,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,Alabama,13,13-0,15,13,0,1,16,0,153,11.8
2,Michigan,12,2-Oct,18,14,1,0,8,1,150,12.5
3,Ohio St.,12,1-Nov,18,17,0,0,15,0,170,14.2
4,Wisconsin,13,3-Oct,22,22,0,0,16,0,202,15.5
5,Auburn,12,4-Aug,18,16,0,0,21,0,187,15.6
6,LSU,11,4-Jul,16,12,3,0,22,0,180,16.4
7,Appalachian St.,12,3-Sep,24,24,0,0,12,0,204,17
8,Washington,13,1-Dec,27,25,1,0,11,1,224,17.2
,Temple,13,3-Oct,29,24,1,0,8,0,224,17.2
10,Florida,12,4-Aug,27,26,0,0,9,0,215,17.9
,Iowa,12,4-Aug,27,26,0,0,9,0,215,17.9
12,Clemson,13,1-Dec,30,26,0,0,11,0,239,18.4
13,Miami (FL),12,4-Aug,26,26,0,0,15,0,227,18.9
,Army West Point,12,5-Jul,29,26,0,0,9,0,227,18.9
15,BYU,12,4-Aug,30,27,1,0,8,0,233,19.4
16,Western Mich.,13,13-0,32,31,0,0,10,0,253,19.5
17,Stanford,12,3-Sep,30,27,1,0,11,0,242,20.2
18,Colorado,13,3-Oct,31,30,0,0,16,1,266,20.5
19,San Diego St.,13,3-Oct,36,34,0,1,7,0,273,21
20,Kansas St.,12,4-Aug,33,31,1,0,9,2,262,21.8
,Wake Forest,12,6-Jun,35,32,0,0,6,1,262,21.8
22,Troy,12,3-Sep,34,33,0,0,9,0,264,22
23,Northwestern,12,6-Jun,31,24,1,0,17,1,265,22.1
24,Arkansas St.,12,5-Jul,30,27,0,0,19,1,266,22.2
,Southern California,12,3-Sep,34,32,0,0,10,0,266,22.2
26,Ohio,13,5-Aug,34,32,1,0,17,0,289,22.2
27,Houston,12,3-Sep,33,30,1,0,13,1,271,22.6
,Vanderbilt,12,6-Jun,31,28,0,0,19,0,271,22.6
29,Boise St.,12,2-Oct,31,27,3,0,17,1,272,22.7
30,Virginia Tech,13,4-Sep,38,35,1,0,10,0,295,22.7
31,Nebraska,12,3-Sep,35,26,1,0,11,1,273,22.8
32,Minnesota,12,4-Aug,34,28,1,0,13,1,275,22.9
33,NC State,12,6-Jun,32,28,1,0,19,0,279,23.3
34,Louisville,12,3-Sep,35,31,2,0,11,1,280,23.3
35,Penn St.,13,2-Nov,36,35,0,0,17,1,304,23.4
36,West Virginia,12,2-Oct,33,28,2,0,17,0,281,23.4
37,Texas A&M,12,4-Aug,34,29,1,0,17,0,286,23.8
38,Utah,12,4-Aug,36,32,0,0,13,0,287,23.9
39,Western Ky.,13,3-Oct,39,37,0,0,14,0,313,24.1
40,UCF,12,6-Jun,36,32,1,0,13,0,289,24.1
,Georgia,12,5-Jul,38,37,0,0,8,0,289,24.1
42,Miami (OH),12,6-Jun,37,34,0,0,12,0,292,24.3
43,Florida St.,12,3-Sep,37,31,1,0,12,1,293,24.4
44,Boston College,12,6-Jun,40,40,0,0,5,0,295,24.6
45,South Carolina,12,6-Jun,38,35,1,0,11,0,298,24.8
46,North Carolina,12,4-Aug,38,38,0,0,9,3,299,24.9
47,Georgia Tech,12,4-Aug,38,37,0,0,11,1,300,25
48,Louisiana,12,6-Jun,35,29,1,0,20,0,301,25.1
49,Toledo,12,3-Sep,37,36,0,0,15,0,303,25.3
50,South Alabama,12,6-Jun,39,30,3,0,12,0,306,25.5
51,Ga. Southern,12,7-May,39,37,0,1,15,0,318,26.5
52,Georgia St.,12,9-Mar,37,36,1,0,19,1,319,26.6
53,Air Force,12,3-Sep,42,37,2,0,9,0,320,26.7
54,Cincinnati,12,8-Apr,39,36,0,0,17,1,323,26.9
55,Memphis,12,4-Aug,42,42,0,0,10,0,324,27
56,Washington St.,12,4-Aug,43,39,1,0,9,0,326,27.2
57,Indiana,12,6-Jun,40,35,0,0,17,1,328,27.3
58,UCLA,12,8-Apr,37,34,1,0,24,0,330,27.5
59,Tulane,12,8-Apr,42,36,2,1,12,1,332,27.7
60,Michigan St.,12,9-Mar,42,39,1,1,12,1,333,27.8
,TCU,12,6-Jun,39,35,2,0,20,0,333,27.8
62,Colorado St.,12,5-Jul,44,43,0,0,9,0,334,27.8
,Old Dominion,12,3-Sep,45,43,1,2,5,0,334,27.8
,Notre Dame,12,8-Apr,44,37,2,0,9,1,334,27.8
65,UConn,12,9-Mar,43,43,0,0,12,0,337,28.1
,Oklahoma St.,12,3-Sep,45,37,0,0,10,0,337,28.1
67,Duke,12,8-Apr,43,41,0,0,13,0,338,28.2
68,Central Mich.,12,6-Jun,44,40,1,0,11,0,339,28.3
69,UTSA,12,6-Jun,43,32,4,0,14,0,340,28.3
70,Kent St.,12,9-Mar,43,37,2,0,13,3,344,28.7
71,Maryland,12,6-Jun,47,42,0,0,8,0,348,29
,Nevada,12,7-May,44,40,0,0,14,1,348,29
73,Tennessee,12,4-Aug,45,42,0,0,13,0,351,29.3
74,Utah St.,12,9-Mar,43,41,1,0,17,0,352,29.3
75,Oklahoma,12,2-Oct,44,42,1,0,16,0,356,29.7
76,Navy,13,4-Sep,48,45,1,0,17,0,386,29.7
77,Idaho,12,4-Aug,45,42,0,0,15,0,357,29.8
78,Ball St.,12,8-Apr,46,44,1,0,13,0,361,30.1
79,Southern Miss.,12,6-Jun,47,47,0,0,10,2,363,30.3
80,Eastern Mich.,12,5-Jul,49,44,1,0,8,0,364,30.3
,Northern Ill.,12,7-May,49,46,0,0,8,0,364,30.3
82,Baylor,12,6-Jun,47,45,0,0,12,1,365,30.4
