Year,Winners,Score,Losers
1980,Oakland Raiders,27-10,Philadelphia Eagles
1981,San Francisco 49ers,26-21,Cincinnati Bengals
1982,Washington Redskins,27-17,Miami Dolphins
1983,Los Angeles Raiders,38-9,Washington Redskins
1984,San Francisco 49ers,38-16,Miami Dolphins
1985,Chicago Bears,46-10,New England Patriots
1986,New York Giants,39-20,Denver Broncos
1987,Washington Redskins,42-10,Denver Broncos
1988,San Francisco 49ers,20-16,Cincinnati Bengals
1989,San Francisco 49ers,55-10,Denver Broncos
1990,New York Giants,20-19,Buffalo Bills
1991,Washington Redskins,37-24,Buffalo Bills
1992,Dallas Cowboys,52-17,Buffalo Bills
1993,Dallas Cowboys,30-13,Buffalo Bills
1994,San Francisco 49ers,49-26,Los Angeles Chargers
1995,Dallas Cowboys,27-17,Pittsburgh Steelers
1996,Green Bay Packers,35-21,New England Patriots
1997,Denver Broncos,31-24,Green Bay Packers
1998,Denver Broncos,34-19,Atlanta Falcons
1999,Los Angeles Rams,23-16,Tennessee Titans
2000,Baltimore Ravens,34-7,New York Giants
2001,New England Patriots,20-17,Los Angeles Rams
2002,Tampa Bay Buccaneers,48-21,Oakland Raiders
2003,New England Patriots,32-29,Carolina Panthers
2004,New England Patriots,24-21,Philadelphia Eagles
2005,Pittsburgh Steelers,21-10,Seattle Seahawks
2006,Indianapolis Colts,29-17,Chicago Bears
2007,New York Giants,17-14,New England Patriots
2008,Pittsburgh Steelers,27-23,Arizona Cardinals
2009,New Orleans Saints,31-17,Indianapolis Colts
2010,Green Bay Packers,31-25,Pittsburgh Steelers
2011,New York Giants,21-17,New England Patriots
2012,Baltimore Ravens,34-31,San Francisco 49ers
2013,Seattle Seahawks,43-8,Denver Broncos
2014,New England Patriots,28-24,Seattle Seahawks
2015,Denver Broncos,24-10,Carolina Panthers
2016,New England Patriots,34-28,Atlanta Falcons
2017,Philadelphia Eagles,41-33,New England Patriots
