Rank,Name,G,W-L,Fum Rec,Opp Int,Turn Gain,Fum Lost,Int,Turn Lost,Margin,Avg
1,Washington,13,1-Dec,14,19,33,5,7,12,21,1.62
2,Western Mich.,13,13-0,11,15,26,4,3,7,19,1.46
3,Ohio St.,12,1-Nov,6,19,25,4,5,9,16,1.33
4,Old Dominion,12,3-Sep,12,10,22,4,5,9,13,1.08
5,BYU,12,4-Aug,10,19,29,6,11,17,12,1
6,Kansas St.,12,4-Aug,8,15,23,7,5,12,11,0.92
,Kent St.,12,9-Mar,12,12,24,5,8,13,11,0.92
8,Wisconsin,13,3-Oct,6,21,27,6,10,16,11,0.85
9,South Carolina,12,6-Jun,11,14,25,10,5,15,10,0.83
,Oklahoma St.,12,3-Sep,11,13,24,10,4,14,10,0.83
,Memphis,12,4-Aug,13,15,28,9,9,18,10,0.83
12,San Diego St.,13,3-Oct,3,22,25,9,6,15,10,0.77
13,Tulane,12,8-Apr,15,12,27,10,8,18,9,0.75
14,Appalachian St.,12,3-Sep,1,20,21,5,8,13,8,0.67
,Minnesota,12,4-Aug,16,8,24,4,12,16,8,0.67
,Miami (FL),12,4-Aug,10,8,18,3,7,10,8,0.67
,Wake Forest,12,6-Jun,14,11,25,6,11,17,8,0.67
,Idaho,12,4-Aug,10,15,25,6,11,17,8,0.67
19,Utah,12,4-Aug,11,17,28,14,7,21,7,0.58
,Troy,12,3-Sep,7,18,25,7,11,18,7,0.58
,Northwestern,12,6-Jun,8,13,21,6,8,14,7,0.58
,Charlotte,12,8-Apr,6,16,22,9,6,15,7,0.58
,Iowa,12,4-Aug,9,7,16,2,7,9,7,0.58
,Georgia,12,5-Jul,10,15,25,9,9,18,7,0.58
25,Colorado,13,3-Oct,11,15,26,9,10,19,7,0.54
26,Michigan,12,2-Oct,5,12,17,5,6,11,6,0.5
,Vanderbilt,12,6-Jun,13,5,18,4,8,12,6,0.5
,South Fla.,12,2-Oct,8,13,21,8,7,15,6,0.5
,Washington St.,12,4-Aug,10,12,22,5,11,16,6,0.5
30,Temple,13,3-Oct,13,10,23,5,12,17,6,0.46
31,West Virginia,12,2-Oct,11,14,25,9,11,20,5,0.42
,Boston College,12,6-Jun,12,11,23,11,7,18,5,0.42
,Nebraska,12,3-Sep,2,16,18,4,9,13,5,0.42
,Texas A&M,12,4-Aug,12,12,24,11,8,19,5,0.42
,Mississippi St.,12,7-May,8,13,21,6,10,16,5,0.42
36,Alabama,13,13-0,10,14,24,10,9,19,5,0.38
37,Marshall,12,9-Mar,12,8,20,4,12,16,4,0.33
,Auburn,12,4-Aug,6,11,17,8,5,13,4,0.33
,Florida St.,12,3-Sep,8,14,22,11,7,18,4,0.33
,UTSA,12,6-Jun,11,7,18,7,7,14,4,0.33
,Nevada,12,7-May,10,5,15,2,9,11,4,0.33
42,Ohio,13,5-Aug,11,13,24,12,8,20,4,0.31
43,Arkansas St.,12,5-Jul,8,11,19,7,9,16,3,0.25
,Miami (OH),12,6-Jun,7,14,21,12,6,18,3,0.25
,Georgia Tech,12,4-Aug,7,11,18,11,4,15,3,0.25
,California,12,7-May,7,11,18,3,12,15,3,0.25
,Air Force,12,3-Sep,6,14,20,9,8,17,3,0.25
,Pittsburgh,12,4-Aug,9,8,17,8,6,14,3,0.25
,UCF,12,6-Jun,10,15,25,13,9,22,3,0.25
50,Penn St.,13,2-Nov,11,9,20,12,5,17,3,0.23
,Wyoming,13,5-Aug,11,14,25,9,13,22,3,0.23
52,Colorado St.,12,5-Jul,6,8,14,7,5,12,2,0.17
,UNLV,12,8-Apr,10,5,15,3,10,13,2,0.17
,North Texas,12,7-May,7,14,21,8,11,19,2,0.17
,SMU,12,7-May,8,18,26,7,17,24,2,0.17
56,Navy,13,4-Sep,10,7,17,8,7,15,2,0.15
57,North Carolina,12,4-Aug,13,1,14,9,4,13,1,0.08
,Middle Tenn.,12,4-Aug,8,11,19,5,13,18,1,0.08
,Ga. Southern,12,7-May,10,9,19,9,9,18,1,0.08
,Cincinnati,12,8-Apr,7,17,24,8,15,23,1,0.08
,South Alabama,12,6-Jun,10,10,20,6,13,19,1,0.08
,New Mexico St.,12,9-Mar,10,13,23,7,15,22,1,0.08
,Eastern Mich.,12,5-Jul,13,10,23,6,16,22,1,0.08
,Oregon St.,12,8-Apr,13,7,20,8,11,19,1,0.08
,Florida,12,4-Aug,8,13,21,7,13,20,1,0.08
66,Louisiana Tech,13,5-Aug,8,9,17,7,9,16,1,0.08
