Name,Pct
UCF,1
Oklahoma,0.923
Georgia,0.923
Clemson,0.923
Wisconsin,0.923
Alabama,0.917
Toledo,0.846
Southern California,0.846
Ohio St.,0.846
Miami (FL),0.833
San Diego St.,0.833
Penn St.,0.833
Troy,0.833
Memphis,0.833
Washington,0.833
South Fla.,0.818
TCU,0.769
Boise St.,0.769
Fla. Atlantic,0.769
Auburn,0.769
Oklahoma St.,0.75
Notre Dame,0.75
Northwestern,0.75
LSU,0.75
Michigan St.,0.75
Virginia Tech,0.75
Washington St.,0.75
Army West Point,0.75
Fresno St.,0.692
Stanford,0.692
North Texas,0.692
UAB,0.667
Appalachian St.,0.667
Central Mich.,0.667
FIU,0.667
Louisville,0.667
Michigan,0.667
Mississippi St.,0.667
NC State,0.667
Northern Ill.,0.667
Ohio,0.667
South Carolina,0.667
Southern Miss.,0.667
Houston,0.636
Arkansas St.,0.636
Oregon,0.583
Missouri,0.583
Texas A&M,0.583
Arizona,0.583
Arizona St.,0.583
Boston College,0.583
Colorado St.,0.583
Iowa,0.583
Iowa St.,0.583
Kansas St.,0.583
Kentucky,0.583
Wake Forest,0.583
West Virginia,0.583
Wyoming,0.583
Marshall,0.583
SMU,0.583
UTSA,0.545
Georgia St.,0.545
Akron,0.538
Purdue,0.5
New Mexico St.,0.5
Texas Tech,0.5
Texas,0.5
UCLA,0.5
Utah,0.5
Utah St.,0.5
Buffalo,0.5
Florida St.,0.5
Duke,0.5
Virginia,0.5
Western Ky.,0.5
Western Mich.,0.5
Louisiana Tech,0.5
Middle Tenn.,0.5
Ole Miss,0.5
Navy,0.5
Temple,0.5
Georgia Tech,0.455
Old Dominion,0.417
Pittsburgh,0.417
Louisiana,0.417
Tulane,0.417
Air Force,0.417
California,0.417
UNLV,0.417
Indiana,0.417
Eastern Mich.,0.417
Vanderbilt,0.417
Miami (OH),0.417
Minnesota,0.417
Colorado,0.417
Florida,0.364
Rutgers,0.333
South Alabama,0.333
Tennessee,0.333
Syracuse,0.333
Arkansas,0.333
La.-Monroe,0.333
Idaho,0.333
Maryland,0.333
Massachusetts,0.333
Nebraska,0.333
Cincinnati,0.333
BYU,0.308
Hawaii,0.25
UConn,0.25
North Carolina,0.25
Nevada,0.25
New Mexico,0.25
East Carolina,0.25
Texas St.,0.167
Tulsa,0.167
Ball St.,0.167
Bowling Green,0.167
Ga. Southern,0.167
Illinois,0.167
Kent St.,0.167
San Jose St.,0.154
Oregon St.,0.083
Kansas,0.083
Charlotte,0.083
Rice,0.083
Baylor,0.083
UTEP,0
